Date,Open,High,Low,Close,Adj Close,Volume
2002-12-04,51.0,51.0,48.1,49.45,49.45,812
2002-12-05,49.5,50.0,49.0,49.0,49.0,304
2002-12-06,49.0,49.5,48.35,49.05,49.05,520
2002-12-09,48.95,48.95,47.75,48.05,48.05,1800
2002-12-10,48.0,49.0,48.0,48.55,48.55,1325
2002-12-11,48.7,49.0,48.2,48.2,48.2,4458
2002-12-12,48.15,48.75,48.0,48.6,48.6,2753
2002-12-13,48.1,49.0,48.1,48.95,48.95,700
2002-12-16,49.5,49.5,48.3,49.5,49.5,825
2002-12-17,48.2,48.5,48.1,48.25,48.25,8250
2002-12-18,48.0,48.4,47.9,48.0,48.0,3779
2002-12-19,48.25,48.25,47.5,48.15,48.15,950
2002-12-20,47.0,48.25,47.0,47.8,47.8,700
2002-12-23,47.8,47.9,47.55,47.85,47.85,700
2002-12-24,47.3,47.9,47.0,47.35,47.35,755
2002-12-26,47.45,48.0,47.45,47.75,47.75,4132
2002-12-27,48.0,48.3,47.0,47.45,47.45,6320
2002-12-30,47.95,47.95,47.1,47.5,47.5,2540
2002-12-31,47.25,49.8,47.25,48.1,48.1,2145
2003-01-01,49.5,49.5,48.5,49.0,49.0,3595
2003-01-02,49.0,49.25,49.0,49.0,49.0,1975
2003-01-03,48.0,49.25,48.0,49.15,49.15,761
2003-01-06,46.0,48.75,46.0,48.55,48.55,809
2003-01-07,47.0,49.25,47.0,49.0,49.0,1138
2003-01-08,47.05,49.35,47.05,49.0,49.0,2659
2003-01-09,48.0,49.2,47.6,48.15,48.15,5755
2003-01-10,47.0,49.1,47.0,48.55,48.55,1904
2003-01-13,48.75,48.95,47.7,48.95,48.95,927
2003-01-14,49.0,53.85,48.0,53.1,53.1,13459
2003-01-15,52.3,53.85,50.0,51.75,51.75,37195
2003-01-16,51.75,51.75,50.25,50.25,50.25,5435
2003-01-17,50.5,50.5,49.95,49.95,49.95,2622
2003-01-20,49.5,50.0,48.6,49.0,49.0,2670
